iter	Passed	Remaining
796	664674	169295
797	665531	168467
798	666413	167645
799	667294	166823
800	668149	165994
801	668991	165162
802	669840	164332
803	670748	163515
804	671632	162693
805	672609	161893
806	673443	161059
807	674307	160231
808	675204	159411
809	676062	158582
